SMILES,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
COC(=O)c1sccc1NC(=O)Cc1cccc2ncccc12,-6.34619557,-7.180083552,326.377,3.2641,2.082353759,0.747264066,68.29,5,1,4,TRUE,339351,0.578665509,CHEMBL1288216,1,0.135802469,1
COc1ccc(C(=O)Nc2cccc(C)c2N2CCC3(CC2)OCCO3)o1,-6.884347433,-7.236744132,372.421,3.19222,3.169530216,0.888586504,73.17,6,1,4,TRUE,51284871,0.597654191,CHEMBL1783596,1,0.151162791,1
Cc1c(Cl)cccc1N=C1NC(=O)C(=C2C(=O)Nc3ccccc32)S1,-8.128362968,-10.82784742,369.833,3.86232,2.989903457,0.749630985,70.56,4,2,1,TRUE,CHEMBL406620,0.611678005,CHEMBL4464624,1,0.130952381,1
Cc1ncn(-c2ccc(Nc3nccc(-c4cc[nH]n4)n3)cc2)n1,-7.469613483,-8.240357813,318.344,2.49942,2.883370832,0.59982511,97.2,7,2,4,TRUE,CHEMBL402932,0.647205882,CHEMBL1771656,1,0.242857143,1
COc1cc2c(cc1Cl)C(c1cccc(Cl)c1F)=NCC2,-6.785097037,-7.999323146,324.182,4.5346,2.481339318,0.794952653,21.59,2,0,2,TRUE,CHEMBL323657,0.600064506,CHEMBL1077129,1,0.078947368,1
N#Cc1c(NC(=O)c2ccsc2)sc2c1CCCC2,-6.875848628,-8.503541479,288.397,3.81238,2.358708524,0.913155671,52.89,4,1,2,TRUE,CHEMBL431634,0.629677212,CHEMBL397356,1,0.08,1
O=C(Nc1ccc2[nH]nc(-c3ccncc3)c2c1)C1CCN(CC(=O)N2CCN(c3ccc(-c4ncccn4)cc3)CC2)C1,-8.174373722,-8.580721461,587.688,3.6911,3.175660923,0.295688063,123.24,8,2,7,TRUE,CHEMBL3647956,0.455346201,250130,1,0.114754098,1
O=C(NCCN1CCOCC1)c1cc(-n2ncc3cc(Nc4c(Cl)cccc4Cl)ccc32)ccn1,-8.222834907,-9.574879439,511.413,4.5329,2.591805013,0.379459241,84.31,7,2,7,TRUE,CHEMBL4632807,0.561273264,CHEMBL2376928,1,0.2,1
O=C(NCCN1CCOCC1)c1cccc(-n2ncc3cc(Nc4ccccc4Cl)ccc32)n1,-8.841693788,-9.138440081,476.968,3.8795,2.493748939,0.420891735,84.31,7,2,7,TRUE,50234923,0.541373062,CHEMBL2376927,1,0.183673469,1
COc1cccc(-n2ccc(-c3ccnc(Nc4ccc(-n5nc(C)nc5C)cc4)c3)n2)c1,-8.761163657,-7.299995863,437.507,4.88404,2.541060757,0.407509727,82.68,8,1,6,TRUE,CHEMBL569046,0.635175763,CHEMBL1771714,1,0.25974026,1
CS(=O)(=O)C1CCN(c2cccc3c2ccn3-c2ccnc(NC3CCC(C(=O)N4CCC(O)CC4)CC3)n2)CC1,-8.103842209,-8.219877591,580.755,3.3879,3.058423254,0.455401884,120.66,9,2,6,TRUE,CHEMBL2386091,0.529998352,51195178,1,0.172727273,1
Cc1ccccc1Nc1cc(-c2ccnc(Nc3ccccc3C)c2)ccn1,-9.247494576,-11.27104485,366.468,6.24764,2.119998164,0.438329951,49.84,4,2,5,TRUE,50840603,0.639680039,CHEMBL205561,1,0.102564103,1
CCOC(=O)C=CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1C1CC1,-6.260921017,-7.470535226,466.538,5.2134,2.862038564,0.278526402,86.11,7,1,8,TRUE,CHEMBL4536012,0.521034557,CHEMBL3394114,1,0.419753086,1
CNc1ncc2nc(Nc3ccccc3F)n(C3CCCC3)c2n1,-7.991848703,-8.716433473,326.379,3.8658,2.493702035,0.761697845,67.66,6,2,4,TRUE,CHEMBL318208,0.593543544,CHEMBL1946329,1,0.102564103,1
